	Compound	Date	Negative	Neutral	Positive	Tweets Ago
0	-0.6908	Tue Apr 03 16:08:03 +0000 2018	0.734	0.266	0.0	1
1	-0.0258	Tue Apr 03 16:01:35 +0000 2018	0.916	0.084	0.0	2
2	-0.3182	Tue Apr 03 15:41:02 +0000 2018	0.796	0.204	0.0	3
3	-0.6369	Tue Apr 03 15:32:58 +0000 2018	0.606	0.394	0.0	4
4	-0.6908	Tue Apr 03 15:32:58 +0000 2018	0.561	0.439	0.0	5
5	0.0	Tue Apr 03 15:32:10 +0000 2018	1.0	0.0	0.0	6
6	0.0	Tue Apr 03 14:30:44 +0000 2018	1.0	0.0	0.0	7
7	0.6369	Tue Apr 03 14:15:32 +0000 2018	0.741	0.0	0.259	8
8	-0.3818	Tue Apr 03 13:15:12 +0000 2018	0.755	0.245	0.0	9
9	0.0	Tue Apr 03 12:59:40 +0000 2018	1.0	0.0	0.0	10
10	-0.6705	Tue Apr 03 11:00:54 +0000 2018	0.703	0.297	0.0	11
11	0.3818	Tue Apr 03 10:37:30 +0000 2018	0.776	0.0	0.224	12
12	-0.4939	Tue Apr 03 10:22:14 +0000 2018	0.556	0.31	0.135	13
13	-0.3818	Tue Apr 03 10:17:43 +0000 2018	0.776	0.224	0.0	14
14	-0.3182	Tue Apr 03 09:59:06 +0000 2018	0.796	0.204	0.0	15
15	0.0	Tue Apr 03 09:58:33 +0000 2018	1.0	0.0	0.0	16
16	0.0	Tue Apr 03 09:38:03 +0000 2018	1.0	0.0	0.0	17
17	0.5574	Tue Apr 03 09:33:50 +0000 2018	0.625	0.149	0.226	18
18	0.0	Tue Apr 03 09:29:52 +0000 2018	1.0	0.0	0.0	19
19	-0.4767	Tue Apr 03 09:29:52 +0000 2018	0.763	0.237	0.0	20
20	-0.0772	Tue Apr 03 09:24:57 +0000 2018	0.68	0.17	0.15	21
21	-0.5994	Tue Apr 03 09:07:31 +0000 2018	0.811	0.189	0.0	22
22	-0.3182	Tue Apr 03 08:05:56 +0000 2018	0.777	0.223	0.0	23
23	-0.3818	Tue Apr 03 07:51:52 +0000 2018	0.729	0.271	0.0	24
24	0.0	Tue Apr 03 06:58:30 +0000 2018	1.0	0.0	0.0	25
25	0.0	Tue Apr 03 06:58:29 +0000 2018	1.0	0.0	0.0	26
26	0.0	Tue Apr 03 06:58:29 +0000 2018	1.0	0.0	0.0	27
27	0.0	Tue Apr 03 06:56:08 +0000 2018	1.0	0.0	0.0	28
28	0.0	Tue Apr 03 06:33:12 +0000 2018	1.0	0.0	0.0	29
29	-0.4767	Tue Apr 03 04:15:19 +0000 2018	0.721	0.279	0.0	30
30	0.0	Tue Apr 03 00:16:12 +0000 2018	1.0	0.0	0.0	31
31	0.0	Mon Apr 02 23:54:23 +0000 2018	1.0	0.0	0.0	32
32	0.0	Mon Apr 02 23:48:36 +0000 2018	1.0	0.0	0.0	33
33	0.4588	Mon Apr 02 23:48:35 +0000 2018	0.8	0.0	0.2	34
34	0.0	Mon Apr 02 23:07:55 +0000 2018	1.0	0.0	0.0	35
35	0.4215	Mon Apr 02 21:33:27 +0000 2018	0.641	0.0	0.359	36
36	-0.3182	Mon Apr 02 21:06:53 +0000 2018	0.813	0.187	0.0	37
37	-0.6124	Mon Apr 02 19:58:26 +0000 2018	0.583	0.417	0.0	38
38	-0.3182	Mon Apr 02 19:45:11 +0000 2018	0.753	0.247	0.0	39
39	-0.3182	Mon Apr 02 19:13:00 +0000 2018	0.753	0.247	0.0	40
40	-0.4404	Mon Apr 02 17:04:56 +0000 2018	0.756	0.244	0.0	41
41	0.0	Mon Apr 02 15:52:43 +0000 2018	1.0	0.0	0.0	42
42	-0.6124	Mon Apr 02 15:46:50 +0000 2018	0.403	0.46	0.137	43
43	-0.5574	Mon Apr 02 15:45:05 +0000 2018	0.841	0.159	0.0	44
44	-0.6597	Mon Apr 02 15:42:53 +0000 2018	0.803	0.197	0.0	45
45	-0.2023	Mon Apr 02 15:31:08 +0000 2018	0.833	0.167	0.0	46
46	0.3182	Mon Apr 02 14:59:26 +0000 2018	0.635	0.0	0.365	47
47	0.0	Mon Apr 02 14:25:48 +0000 2018	1.0	0.0	0.0	48
48	-0.5574	Mon Apr 02 14:05:41 +0000 2018	0.816	0.184	0.0	49
49	0.3818	Mon Apr 02 13:43:49 +0000 2018	0.847	0.0	0.153	50
50	0.34	Mon Apr 02 13:36:50 +0000 2018	0.861	0.0	0.139	51
51	-0.34	Mon Apr 02 13:21:13 +0000 2018	0.789	0.211	0.0	52
