	Compound	Date	Negative	Neutral	Positive	Tweets Ago
0	-0.4767	Tue Apr 03 16:30:43 +0000 2018	0.783	0.157	0.06	101
1	-0.7717	Tue Apr 03 16:15:35 +0000 2018	0.66	0.34	0.0	102
2	0.3818	Tue Apr 03 16:07:44 +0000 2018	0.817	0.053	0.13	103
3	0.6486	Tue Apr 03 16:00:32 +0000 2018	0.762	0.0	0.238	104
4	-0.5719	Tue Apr 03 15:40:32 +0000 2018	0.821	0.179	0.0	105
5	-0.4767	Tue Apr 03 15:25:01 +0000 2018	0.866	0.134	0.0	106
6	-0.5994	Tue Apr 03 15:10:37 +0000 2018	0.813	0.187	0.0	107
7	0.2023	Tue Apr 03 14:55:02 +0000 2018	0.904	0.0	0.096	108
8	0.0	Tue Apr 03 14:42:49 +0000 2018	1.0	0.0	0.0	109
9	0.0	Tue Apr 03 14:38:16 +0000 2018	1.0	0.0	0.0	110
10	-0.5859	Tue Apr 03 14:31:01 +0000 2018	0.833	0.167	0.0	111
11	0.0	Tue Apr 03 14:25:01 +0000 2018	1.0	0.0	0.0	112
12	0.0	Tue Apr 03 14:05:38 +0000 2018	1.0	0.0	0.0	113
13	-0.1027	Tue Apr 03 13:58:19 +0000 2018	0.928	0.072	0.0	114
14	0.7906	Tue Apr 03 13:51:51 +0000 2018	0.708	0.0	0.292	115
15	-0.4019	Tue Apr 03 13:50:38 +0000 2018	0.876	0.124	0.0	116
16	0.3818	Tue Apr 03 13:35:01 +0000 2018	0.894	0.0	0.106	117
17	0.1779	Tue Apr 03 13:20:01 +0000 2018	0.898	0.0	0.102	118
18	0.0	Tue Apr 03 13:05:01 +0000 2018	1.0	0.0	0.0	119
19	0.3818	Tue Apr 03 12:53:47 +0000 2018	0.894	0.0	0.106	120
20	-0.5994	Tue Apr 03 12:51:27 +0000 2018	0.822	0.178	0.0	121
21	0.0	Tue Apr 03 12:50:43 +0000 2018	1.0	0.0	0.0	122
22	-0.5994	Tue Apr 03 12:48:48 +0000 2018	0.837	0.163	0.0	123
23	0.0	Tue Apr 03 12:44:34 +0000 2018	1.0	0.0	0.0	124
24	0.25	Tue Apr 03 12:39:20 +0000 2018	0.814	0.074	0.112	125
25	0.5859	Tue Apr 03 12:35:30 +0000 2018	0.84	0.0	0.16	126
26	0.2732	Tue Apr 03 12:34:07 +0000 2018	0.89	0.0	0.11	127
27	0.0	Tue Apr 03 12:25:22 +0000 2018	1.0	0.0	0.0	128
28	0.0	Tue Apr 03 12:20:30 +0000 2018	1.0	0.0	0.0	129
29	0.0	Tue Apr 03 12:20:01 +0000 2018	1.0	0.0	0.0	130
30	0.0	Tue Apr 03 12:17:34 +0000 2018	1.0	0.0	0.0	131
31	0.4404	Tue Apr 03 12:07:19 +0000 2018	0.854	0.0	0.146	132
32	-0.9022	Tue Apr 03 12:05:01 +0000 2018	0.518	0.482	0.0	133
33	0.0	Tue Apr 03 11:52:30 +0000 2018	1.0	0.0	0.0	134
34	0.2732	Tue Apr 03 11:50:01 +0000 2018	0.87	0.0	0.13	135
35	-0.1531	Tue Apr 03 11:44:48 +0000 2018	0.772	0.125	0.103	136
36	0.4019	Tue Apr 03 11:36:01 +0000 2018	0.847	0.0	0.153	137
37	-0.9022	Tue Apr 03 11:34:29 +0000 2018	0.536	0.464	0.0	138
38	0.0	Tue Apr 03 11:33:33 +0000 2018	1.0	0.0	0.0	139
39	0.6369	Tue Apr 03 11:30:01 +0000 2018	0.811	0.0	0.189	140
40	0.4404	Tue Apr 03 11:20:50 +0000 2018	0.861	0.0	0.139	141
41	-0.1531	Tue Apr 03 11:17:10 +0000 2018	0.794	0.117	0.089	142
42	0.0	Tue Apr 03 11:15:01 +0000 2018	1.0	0.0	0.0	143
43	-0.7003	Tue Apr 03 11:14:14 +0000 2018	0.685	0.315	0.0	144
44	0.1531	Tue Apr 03 11:12:31 +0000 2018	0.634	0.172	0.194	145
45	-0.4588	Tue Apr 03 11:10:44 +0000 2018	0.833	0.167	0.0	146
46	0.0	Tue Apr 03 11:05:42 +0000 2018	1.0	0.0	0.0	147
47	-0.5574	Tue Apr 03 11:00:01 +0000 2018	0.841	0.159	0.0	148
48	0.0	Tue Apr 03 10:50:01 +0000 2018	1.0	0.0	0.0	149
49	0.4926	Tue Apr 03 10:47:04 +0000 2018	0.775	0.0	0.225	150
50	-0.3818	Tue Apr 03 10:45:01 +0000 2018	0.763	0.149	0.088	151
