	Compound	Date	Negative	Neutral	Positive	Tweets Ago
0	0.0	Tue Apr 03 16:32:51 +0000 2018	1.0	0.0	0.0	201
1	-0.4767	Tue Apr 03 16:20:12 +0000 2018	0.86	0.14	0.0	202
2	0.0	Tue Apr 03 16:15:08 +0000 2018	1.0	0.0	0.0	203
3	0.0772	Tue Apr 03 16:11:45 +0000 2018	0.823	0.103	0.074	204
4	0.1531	Tue Apr 03 16:05:41 +0000 2018	0.773	0.1	0.127	205
5	0.1531	Tue Apr 03 15:53:29 +0000 2018	0.721	0.149	0.131	206
6	0.0258	Tue Apr 03 15:43:29 +0000 2018	0.95	0.0	0.05	207
7	0.1027	Tue Apr 03 15:38:08 +0000 2018	0.938	0.0	0.062	208
8	0.0	Tue Apr 03 15:32:06 +0000 2018	1.0	0.0	0.0	209
9	-0.0258	Tue Apr 03 15:21:50 +0000 2018	0.685	0.16	0.155	210
10	0.4019	Tue Apr 03 15:12:29 +0000 2018	0.881	0.0	0.119	211
11	0.7717	Tue Apr 03 15:00:16 +0000 2018	0.676	0.0	0.324	212
12	-0.4404	Tue Apr 03 14:50:06 +0000 2018	0.861	0.139	0.0	213
13	0.0	Tue Apr 03 14:41:27 +0000 2018	1.0	0.0	0.0	214
14	-0.0772	Tue Apr 03 14:30:05 +0000 2018	0.939	0.061	0.0	215
15	0.5921	Tue Apr 03 14:21:38 +0000 2018	0.797	0.0	0.203	216
16	0.0	Tue Apr 03 14:12:49 +0000 2018	1.0	0.0	0.0	217
17	0.0	Tue Apr 03 14:09:14 +0000 2018	0.714	0.164	0.122	218
18	0.0	Tue Apr 03 14:00:07 +0000 2018	1.0	0.0	0.0	219
19	0.3612	Tue Apr 03 13:51:48 +0000 2018	0.884	0.0	0.116	220
20	0.3612	Tue Apr 03 13:40:08 +0000 2018	0.848	0.0	0.152	221
21	0.0	Tue Apr 03 13:30:04 +0000 2018	1.0	0.0	0.0	222
22	0.0	Tue Apr 03 13:23:32 +0000 2018	1.0	0.0	0.0	223
23	0.4019	Tue Apr 03 13:13:08 +0000 2018	0.803	0.0	0.197	224
24	-0.6808	Tue Apr 03 13:12:45 +0000 2018	0.839	0.161	0.0	225
25	-0.34	Tue Apr 03 13:11:29 +0000 2018	0.888	0.112	0.0	226
26	0.0	Tue Apr 03 13:04:55 +0000 2018	1.0	0.0	0.0	227
27	0.34	Tue Apr 03 12:56:13 +0000 2018	0.876	0.0	0.124	228
28	-0.8555	Tue Apr 03 12:47:58 +0000 2018	0.615	0.385	0.0	229
29	-0.802	Tue Apr 03 12:40:09 +0000 2018	0.644	0.356	0.0	230
30	-0.1027	Tue Apr 03 12:31:08 +0000 2018	0.841	0.089	0.07	231
31	0.6808	Tue Apr 03 12:26:47 +0000 2018	0.781	0.0	0.219	232
32	0.34	Tue Apr 03 12:20:08 +0000 2018	0.888	0.0	0.112	233
33	0.4019	Tue Apr 03 12:13:00 +0000 2018	0.863	0.0	0.137	234
34	0.2263	Tue Apr 03 12:06:45 +0000 2018	0.718	0.12	0.163	235
35	0.4215	Tue Apr 03 12:00:13 +0000 2018	0.714	0.0	0.286	236
36	-0.296	Tue Apr 03 11:50:09 +0000 2018	0.896	0.104	0.0	237
37	0.0	Tue Apr 03 11:40:04 +0000 2018	1.0	0.0	0.0	238
38	-0.34	Tue Apr 03 11:30:06 +0000 2018	0.876	0.124	0.0	239
39	-0.6597	Tue Apr 03 11:20:09 +0000 2018	0.69	0.31	0.0	240
40	0.4215	Tue Apr 03 11:10:04 +0000 2018	0.887	0.0	0.113	241
41	-0.6249	Tue Apr 03 11:00:27 +0000 2018	0.545	0.352	0.103	242
42	0.0	Tue Apr 03 10:48:59 +0000 2018	1.0	0.0	0.0	243
43	-0.5574	Tue Apr 03 10:37:05 +0000 2018	0.825	0.175	0.0	244
44	-0.4019	Tue Apr 03 10:29:22 +0000 2018	0.828	0.172	0.0	245
45	-0.1027	Tue Apr 03 10:27:08 +0000 2018	0.841	0.089	0.07	246
46	0.0	Tue Apr 03 10:16:25 +0000 2018	1.0	0.0	0.0	247
47	-0.8225	Tue Apr 03 10:05:04 +0000 2018	0.678	0.322	0.0	248
48	0.1027	Tue Apr 03 09:59:04 +0000 2018	0.773	0.103	0.124	249
49	0.0	Tue Apr 03 09:54:05 +0000 2018	1.0	0.0	0.0	250
50	-0.3182	Tue Apr 03 09:45:05 +0000 2018	0.615	0.229	0.156	251
51	-0.8834	Tue Apr 03 09:42:06 +0000 2018	0.57	0.43	0.0	252
52	0.4215	Tue Apr 03 09:36:06 +0000 2018	0.741	0.0	0.259	253
53	-0.8658	Tue Apr 03 09:29:01 +0000 2018	0.662	0.338	0.0	254
54	-0.5574	Tue Apr 03 09:25:03 +0000 2018	0.833	0.167	0.0	255
55	0.0	Tue Apr 03 09:20:06 +0000 2018	1.0	0.0	0.0	256
56	0.7845	Tue Apr 03 09:13:17 +0000 2018	0.753	0.0	0.247	257
57	0.0258	Tue Apr 03 08:40:08 +0000 2018	0.749	0.123	0.128	258
58	0.0	Tue Apr 03 08:13:42 +0000 2018	1.0	0.0	0.0	259
59	0.0	Tue Apr 03 08:01:40 +0000 2018	1.0	0.0	0.0	260
60	0.0	Tue Apr 03 07:47:02 +0000 2018	1.0	0.0	0.0	261
61	-0.8479	Tue Apr 03 07:35:04 +0000 2018	0.675	0.325	0.0	262
62	0.7717	Tue Apr 03 07:26:04 +0000 2018	0.717	0.0	0.283	263
63	0.0	Tue Apr 03 07:15:36 +0000 2018	1.0	0.0	0.0	264
64	0.3612	Tue Apr 03 07:03:05 +0000 2018	0.884	0.0	0.116	265
65	0.0	Tue Apr 03 06:47:22 +0000 2018	1.0	0.0	0.0	266
66	0.0	Tue Apr 03 06:31:04 +0000 2018	1.0	0.0	0.0	267
67	-0.8225	Tue Apr 03 06:17:07 +0000 2018	0.678	0.322	0.0	268
68	-0.3612	Tue Apr 03 06:02:01 +0000 2018	0.889	0.111	0.0	269
69	0.3818	Tue Apr 03 06:01:04 +0000 2018	0.776	0.0	0.224	270
70	0.0	Tue Apr 03 05:48:55 +0000 2018	1.0	0.0	0.0	271
71	0.0	Tue Apr 03 05:31:03 +0000 2018	1.0	0.0	0.0	272
72	0.0	Tue Apr 03 05:31:03 +0000 2018	1.0	0.0	0.0	273
73	-0.5106	Tue Apr 03 05:01:04 +0000 2018	0.798	0.202	0.0	274
74	0.0	Tue Apr 03 05:01:04 +0000 2018	1.0	0.0	0.0	275
75	0.0	Tue Apr 03 04:46:00 +0000 2018	1.0	0.0	0.0	276
76	0.0	Tue Apr 03 04:31:05 +0000 2018	1.0	0.0	0.0	277
77	-0.296	Tue Apr 03 04:31:04 +0000 2018	0.901	0.099	0.0	278
78	0.6597	Tue Apr 03 04:20:20 +0000 2018	0.635	0.075	0.29	279
79	0.0	Tue Apr 03 04:18:58 +0000 2018	1.0	0.0	0.0	280
80	-0.3818	Tue Apr 03 04:16:01 +0000 2018	0.88	0.12	0.0	281
81	0.5921	Tue Apr 03 04:01:04 +0000 2018	0.797	0.0	0.203	282
82	0.6249	Tue Apr 03 03:46:05 +0000 2018	0.758	0.0	0.242	283
83	0.7717	Tue Apr 03 03:45:45 +0000 2018	0.717	0.0	0.283	284
84	0.1027	Tue Apr 03 03:31:08 +0000 2018	0.766	0.108	0.126	285
85	0.0	Tue Apr 03 03:16:06 +0000 2018	1.0	0.0	0.0	286
86	0.0	Tue Apr 03 03:06:00 +0000 2018	1.0	0.0	0.0	287
87	0.0	Tue Apr 03 03:01:06 +0000 2018	1.0	0.0	0.0	288
88	0.2263	Tue Apr 03 02:46:05 +0000 2018	0.718	0.12	0.163	289
89	0.0258	Tue Apr 03 02:31:02 +0000 2018	0.95	0.0	0.05	290
90	0.0	Tue Apr 03 02:16:05 +0000 2018	1.0	0.0	0.0	291
91	-0.4404	Tue Apr 03 02:06:17 +0000 2018	0.861	0.139	0.0	292
92	-0.5106	Tue Apr 03 02:01:05 +0000 2018	0.784	0.216	0.0	293
93	-0.3818	Tue Apr 03 01:51:48 +0000 2018	0.874	0.126	0.0	294
94	0.0	Tue Apr 03 01:46:02 +0000 2018	1.0	0.0	0.0	295
95	-0.1027	Tue Apr 03 01:41:04 +0000 2018	0.903	0.097	0.0	296
96	0.34	Tue Apr 03 01:38:06 +0000 2018	0.876	0.0	0.124	297
97	0.0	Tue Apr 03 01:34:08 +0000 2018	1.0	0.0	0.0	298
98	0.0516	Tue Apr 03 01:31:09 +0000 2018	0.671	0.159	0.171	299
99	-0.4215	Tue Apr 03 01:28:00 +0000 2018	0.745	0.176	0.08	300
