	Compound	Date	Negative	Neutral	Positive	Tweets Ago
0	0.0	Tue Apr 03 16:31:11 +0000 2018	1.0	0.0	0.0	301
1	-0.4404	Tue Apr 03 16:22:25 +0000 2018	0.791	0.209	0.0	302
2	-0.3818	Tue Apr 03 16:12:59 +0000 2018	0.843	0.157	0.0	303
3	0.1027	Tue Apr 03 16:12:04 +0000 2018	0.877	0.0	0.123	304
4	-0.6249	Tue Apr 03 16:09:18 +0000 2018	0.618	0.284	0.098	305
5	-0.7717	Tue Apr 03 15:58:55 +0000 2018	0.749	0.251	0.0	306
6	0.7906	Tue Apr 03 15:51:21 +0000 2018	0.636	0.0	0.364	307
7	0.3818	Tue Apr 03 15:43:57 +0000 2018	0.86	0.0	0.14	308
8	0.0258	Tue Apr 03 15:43:42 +0000 2018	0.741	0.127	0.132	309
9	-0.6369	Tue Apr 03 15:39:12 +0000 2018	0.781	0.219	0.0	310
10	0.2732	Tue Apr 03 15:33:56 +0000 2018	0.622	0.135	0.244	311
11	0.0	Tue Apr 03 15:20:00 +0000 2018	1.0	0.0	0.0	312
12	-0.0258	Tue Apr 03 15:10:44 +0000 2018	0.588	0.186	0.226	313
13	-0.5859	Tue Apr 03 15:09:27 +0000 2018	0.758	0.242	0.0	314
14	0.7717	Tue Apr 03 15:01:42 +0000 2018	0.66	0.0	0.34	315
15	0.5719	Tue Apr 03 14:59:16 +0000 2018	0.561	0.0	0.439	316
16	-0.4215	Tue Apr 03 14:40:32 +0000 2018	0.843	0.157	0.0	317
17	0.3612	Tue Apr 03 14:38:19 +0000 2018	0.762	0.0	0.238	318
18	0.0	Tue Apr 03 14:33:07 +0000 2018	1.0	0.0	0.0	319
19	0.6705	Tue Apr 03 14:31:07 +0000 2018	0.766	0.0	0.234	320
20	0.0772	Tue Apr 03 14:29:19 +0000 2018	0.944	0.0	0.056	321
21	-0.2263	Tue Apr 03 14:02:08 +0000 2018	0.84	0.16	0.0	322
22	0.0	Tue Apr 03 13:47:19 +0000 2018	1.0	0.0	0.0	323
23	-0.6249	Tue Apr 03 13:40:31 +0000 2018	0.529	0.344	0.127	324
24	0.0	Tue Apr 03 13:34:05 +0000 2018	1.0	0.0	0.0	325
25	-0.5574	Tue Apr 03 13:13:49 +0000 2018	0.723	0.277	0.0	326
26	0.0	Tue Apr 03 13:12:42 +0000 2018	1.0	0.0	0.0	327
27	-0.0516	Tue Apr 03 12:55:39 +0000 2018	0.921	0.079	0.0	328
28	-0.3818	Tue Apr 03 12:42:21 +0000 2018	0.867	0.133	0.0	329
29	-0.2263	Tue Apr 03 12:35:55 +0000 2018	0.913	0.087	0.0	330
30	0.0	Tue Apr 03 12:32:48 +0000 2018	1.0	0.0	0.0	331
31	0.5096	Tue Apr 03 12:20:17 +0000 2018	0.651	0.0	0.349	332
32	-0.5423	Tue Apr 03 12:14:29 +0000 2018	0.667	0.333	0.0	333
33	-0.4939	Tue Apr 03 12:01:10 +0000 2018	0.631	0.234	0.135	334
34	0.5719	Tue Apr 03 11:50:09 +0000 2018	0.778	0.0	0.222	335
35	-0.8126	Tue Apr 03 11:25:26 +0000 2018	0.543	0.457	0.0	336
36	0.0	Tue Apr 03 11:07:57 +0000 2018	1.0	0.0	0.0	337
37	0.0	Tue Apr 03 10:58:33 +0000 2018	1.0	0.0	0.0	338
38	-0.4019	Tue Apr 03 10:46:26 +0000 2018	0.816	0.184	0.0	339
39	-0.5574	Tue Apr 03 10:39:08 +0000 2018	0.769	0.231	0.0	340
40	0.6369	Tue Apr 03 10:36:57 +0000 2018	0.819	0.0	0.181	341
41	0.0	Tue Apr 03 10:32:27 +0000 2018	1.0	0.0	0.0	342
42	0.3612	Tue Apr 03 10:28:18 +0000 2018	0.889	0.0	0.111	343
43	-0.4404	Tue Apr 03 10:17:12 +0000 2018	0.818	0.182	0.0	344
44	0.5267	Tue Apr 03 10:11:33 +0000 2018	0.793	0.0	0.207	345
45	-0.4939	Tue Apr 03 10:09:50 +0000 2018	0.686	0.314	0.0	346
46	0.4939	Tue Apr 03 10:07:22 +0000 2018	0.833	0.0	0.167	347
47	0.1531	Tue Apr 03 10:05:45 +0000 2018	0.882	0.0	0.118	348
48	0.3612	Tue Apr 03 10:02:52 +0000 2018	0.8	0.0	0.2	349
49	-0.6369	Tue Apr 03 09:58:48 +0000 2018	0.592	0.408	0.0	350
50	-0.1779	Tue Apr 03 09:51:25 +0000 2018	0.513	0.274	0.214	351
51	0.4019	Tue Apr 03 09:45:52 +0000 2018	0.838	0.0	0.162	352
52	-0.6705	Tue Apr 03 09:42:47 +0000 2018	0.78	0.22	0.0	353
53	-0.7845	Tue Apr 03 09:35:39 +0000 2018	0.592	0.408	0.0	354
54	0.0	Tue Apr 03 09:34:09 +0000 2018	1.0	0.0	0.0	355
55	-0.3089	Tue Apr 03 09:28:13 +0000 2018	0.889	0.111	0.0	356
56	0.0	Tue Apr 03 09:21:53 +0000 2018	1.0	0.0	0.0	357
57	0.4767	Tue Apr 03 09:19:08 +0000 2018	0.661	0.0	0.339	358
58	0.0	Tue Apr 03 09:15:44 +0000 2018	1.0	0.0	0.0	359
59	-0.4767	Tue Apr 03 09:14:00 +0000 2018	0.78	0.22	0.0	360
60	0.0	Tue Apr 03 09:09:14 +0000 2018	1.0	0.0	0.0	361
61	0.34	Tue Apr 03 09:03:47 +0000 2018	0.882	0.0	0.118	362
62	0.0	Tue Apr 03 08:55:03 +0000 2018	1.0	0.0	0.0	363
63	0.0	Tue Apr 03 08:50:48 +0000 2018	1.0	0.0	0.0	364
64	-0.8689	Tue Apr 03 08:43:53 +0000 2018	0.55	0.45	0.0	365
65	0.0	Tue Apr 03 08:40:00 +0000 2018	1.0	0.0	0.0	366
66	-0.3182	Tue Apr 03 08:35:00 +0000 2018	0.645	0.355	0.0	367
