	Compound	Date	Negative	Neutral	Positive	Tweets Ago
0	0.2732	Tue Apr 03 16:30:04 +0000 2018	0.905	0.0	0.095	401
1	0.3612	Tue Apr 03 16:15:08 +0000 2018	0.863	0.0	0.137	402
2	-0.0258	Tue Apr 03 16:06:03 +0000 2018	0.95	0.05	0.0	403
3	0.079	Tue Apr 03 16:00:30 +0000 2018	0.749	0.119	0.132	404
4	-0.802	Tue Apr 03 15:45:06 +0000 2018	0.66	0.34	0.0	405
5	-0.3182	Tue Apr 03 15:30:14 +0000 2018	0.881	0.119	0.0	406
6	0.0	Tue Apr 03 15:23:24 +0000 2018	1.0	0.0	0.0	407
7	0.4019	Tue Apr 03 15:15:04 +0000 2018	0.863	0.0	0.137	408
8	0.296	Tue Apr 03 15:07:04 +0000 2018	0.826	0.06	0.115	409
9	0.7184	Tue Apr 03 14:54:47 +0000 2018	0.635	0.063	0.302	410
10	-0.4404	Tue Apr 03 14:51:33 +0000 2018	0.879	0.121	0.0	411
11	-0.5994	Tue Apr 03 14:50:55 +0000 2018	0.849	0.151	0.0	412
12	0.5256	Tue Apr 03 14:50:12 +0000 2018	0.758	0.057	0.185	413
13	-0.4215	Tue Apr 03 14:49:09 +0000 2018	0.865	0.135	0.0	414
14	0.0	Tue Apr 03 14:48:22 +0000 2018	1.0	0.0	0.0	415
15	0.4215	Tue Apr 03 14:41:49 +0000 2018	0.843	0.0	0.157	416
16	0.1779	Tue Apr 03 14:37:03 +0000 2018	0.914	0.0	0.086	417
17	0.0	Tue Apr 03 14:31:32 +0000 2018	1.0	0.0	0.0	418
18	-0.2732	Tue Apr 03 14:30:11 +0000 2018	0.905	0.095	0.0	419
19	0.0	Tue Apr 03 14:26:52 +0000 2018	1.0	0.0	0.0	420
20	0.0	Tue Apr 03 14:15:09 +0000 2018	1.0	0.0	0.0	421
21	0.2263	Tue Apr 03 14:07:05 +0000 2018	0.773	0.092	0.135	422
22	0.4404	Tue Apr 03 14:03:09 +0000 2018	0.805	0.0	0.195	423
23	-0.0258	Tue Apr 03 13:45:07 +0000 2018	0.569	0.217	0.214	424
24	0.0	Tue Apr 03 13:30:17 +0000 2018	1.0	0.0	0.0	425
25	0.4215	Tue Apr 03 13:17:29 +0000 2018	0.826	0.0	0.174	426
26	0.0	Tue Apr 03 13:15:09 +0000 2018	1.0	0.0	0.0	427
27	0.0	Tue Apr 03 13:00:22 +0000 2018	1.0	0.0	0.0	428
28	0.0	Tue Apr 03 12:45:05 +0000 2018	1.0	0.0	0.0	429
29	-0.7096	Tue Apr 03 12:30:03 +0000 2018	0.789	0.211	0.0	430
30	0.4215	Tue Apr 03 12:15:09 +0000 2018	0.877	0.0	0.123	431
31	0.296	Tue Apr 03 12:00:13 +0000 2018	0.872	0.0	0.128	432
32	-0.6705	Tue Apr 03 11:46:05 +0000 2018	0.627	0.288	0.085	433
33	-0.34	Tue Apr 03 11:32:06 +0000 2018	0.902	0.098	0.0	434
34	0.4404	Tue Apr 03 11:17:02 +0000 2018	0.892	0.0	0.108	435
35	-0.2732	Tue Apr 03 11:02:04 +0000 2018	0.896	0.104	0.0	436
36	0.0	Tue Apr 03 10:47:22 +0000 2018	1.0	0.0	0.0	437
37	0.0	Tue Apr 03 10:44:56 +0000 2018	1.0	0.0	0.0	438
38	-0.296	Tue Apr 03 10:37:20 +0000 2018	0.784	0.216	0.0	439
39	0.0	Tue Apr 03 10:34:09 +0000 2018	1.0	0.0	0.0	440
40	0.4588	Tue Apr 03 10:16:52 +0000 2018	0.769	0.0	0.231	441
41	0.0	Tue Apr 03 09:59:06 +0000 2018	1.0	0.0	0.0	442
42	0.6124	Tue Apr 03 09:41:04 +0000 2018	0.792	0.0	0.208	443
43	0.0	Tue Apr 03 09:27:14 +0000 2018	1.0	0.0	0.0	444
44	0.763	Tue Apr 03 09:18:24 +0000 2018	0.743	0.0	0.257	445
45	0.0	Tue Apr 03 09:01:22 +0000 2018	1.0	0.0	0.0	446
46	0.0	Tue Apr 03 08:43:37 +0000 2018	1.0	0.0	0.0	447
47	-0.6249	Tue Apr 03 08:33:02 +0000 2018	0.849	0.151	0.0	448
48	0.6786	Tue Apr 03 08:11:27 +0000 2018	0.666	0.058	0.276	449
49	0.0	Tue Apr 03 07:55:06 +0000 2018	1.0	0.0	0.0	450
50	-0.743	Tue Apr 03 07:25:04 +0000 2018	0.596	0.312	0.091	451
51	0.0	Tue Apr 03 07:10:39 +0000 2018	1.0	0.0	0.0	452
52	0.7096	Tue Apr 03 06:53:00 +0000 2018	0.688	0.0	0.312	453
53	0.0	Tue Apr 03 06:51:28 +0000 2018	1.0	0.0	0.0	454
54	0.5574	Tue Apr 03 06:34:18 +0000 2018	0.777	0.0	0.223	455
55	0.0	Tue Apr 03 06:17:22 +0000 2018	1.0	0.0	0.0	456
56	0.0	Tue Apr 03 06:01:03 +0000 2018	1.0	0.0	0.0	457
57	0.0	Tue Apr 03 05:32:04 +0000 2018	1.0	0.0	0.0	458
58	0.4404	Tue Apr 03 05:02:04 +0000 2018	0.868	0.0	0.132	459
59	0.4404	Tue Apr 03 04:41:05 +0000 2018	0.791	0.0	0.209	460
60	-0.3182	Tue Apr 03 04:22:03 +0000 2018	0.778	0.15	0.072	461
61	-0.6705	Tue Apr 03 04:09:08 +0000 2018	0.645	0.355	0.0	462
62	0.7096	Tue Apr 03 04:02:04 +0000 2018	0.688	0.0	0.312	463
63	-0.7096	Tue Apr 03 03:47:05 +0000 2018	0.753	0.247	0.0	464
64	0.5994	Tue Apr 03 03:40:02 +0000 2018	0.83	0.0	0.17	465
65	0.6249	Tue Apr 03 03:33:34 +0000 2018	0.622	0.104	0.274	466
66	0.128	Tue Apr 03 03:32:03 +0000 2018	0.903	0.0	0.097	467
67	-0.2732	Tue Apr 03 03:17:02 +0000 2018	0.896	0.104	0.0	468
68	-0.296	Tue Apr 03 03:02:02 +0000 2018	0.891	0.109	0.0	469
69	0.0	Tue Apr 03 02:58:54 +0000 2018	1.0	0.0	0.0	470
70	-0.4019	Tue Apr 03 02:47:03 +0000 2018	0.856	0.144	0.0	471
71	0.5267	Tue Apr 03 02:33:04 +0000 2018	0.784	0.0	0.216	472
72	0.0	Tue Apr 03 02:22:45 +0000 2018	1.0	0.0	0.0	473
73	0.0	Tue Apr 03 02:17:01 +0000 2018	1.0	0.0	0.0	474
74	0.4404	Tue Apr 03 02:06:47 +0000 2018	0.868	0.0	0.132	475
75	-0.3818	Tue Apr 03 02:02:07 +0000 2018	0.874	0.126	0.0	476
76	0.0	Tue Apr 03 01:47:03 +0000 2018	1.0	0.0	0.0	477
77	-0.7845	Tue Apr 03 01:32:02 +0000 2018	0.734	0.266	0.0	478
78	0.2382	Tue Apr 03 01:23:05 +0000 2018	0.911	0.0	0.089	479
79	0.0	Tue Apr 03 01:17:03 +0000 2018	1.0	0.0	0.0	480
80	0.34	Tue Apr 03 01:11:06 +0000 2018	0.897	0.0	0.103	481
81	0.6369	Tue Apr 03 01:01:08 +0000 2018	0.811	0.0	0.189	482
82	0.0772	Tue Apr 03 00:50:06 +0000 2018	0.942	0.0	0.058	483
83	0.4404	Tue Apr 03 00:40:08 +0000 2018	0.805	0.0	0.195	484
84	0.0	Tue Apr 03 00:31:05 +0000 2018	1.0	0.0	0.0	485
85	0.5574	Tue Apr 03 00:17:02 +0000 2018	0.777	0.0	0.223	486
86	0.0	Tue Apr 03 00:02:05 +0000 2018	1.0	0.0	0.0	487
87	-0.4019	Mon Apr 02 23:47:05 +0000 2018	0.881	0.119	0.0	488
88	0.4215	Mon Apr 02 23:32:01 +0000 2018	0.843	0.0	0.157	489
89	0.0	Mon Apr 02 23:17:04 +0000 2018	1.0	0.0	0.0	490
90	0.0	Mon Apr 02 23:02:05 +0000 2018	1.0	0.0	0.0	491
91	-0.1027	Mon Apr 02 22:47:06 +0000 2018	0.826	0.096	0.078	492
92	-0.5574	Mon Apr 02 22:32:06 +0000 2018	0.825	0.175	0.0	493
93	0.0	Mon Apr 02 22:17:04 +0000 2018	1.0	0.0	0.0	494
94	0.7096	Mon Apr 02 22:02:06 +0000 2018	0.688	0.0	0.312	495
95	0.3254	Mon Apr 02 21:48:30 +0000 2018	0.857	0.0	0.143	496
96	0.0	Mon Apr 02 21:40:05 +0000 2018	1.0	0.0	0.0	497
97	-0.34	Mon Apr 02 21:25:09 +0000 2018	0.902	0.098	0.0	498
98	0.5267	Mon Apr 02 21:14:23 +0000 2018	0.804	0.0	0.196	499
